cleaned_text,label,confidence,fact_score,misinfo_score,timestamp,claim_intent
covid-19 vaccines are safe and effective,MISINFORMATION,0.8394327163696289,0.964865505695343,0.8394327163696289,2026-01-21T17:03:34.227829,
wearing a mask reduces the spread of coronavirus,CORRECT INFORMATION,0.8292104601860046,0.8292104601860046,0.5381373167037964,2026-01-21T17:03:35.557021,
social distancing helps prevent covid transmission,CORRECT INFORMATION,0.8566200137138367,0.8566200137138367,0.4494282007217407,2026-01-21T17:03:36.465261,
hand washing with soap helps prevent infection,CORRECT INFORMATION,0.7737727761268616,0.7737727761268616,0.364193320274353,2026-01-21T17:03:37.935239,
covid-19 spreads through respiratory droplets,CORRECT INFORMATION,0.9867883324623108,0.9867883324623108,0.5537139177322388,2026-01-21T17:03:40.558171,
vaccination reduces hospitalization from covid,MISINFORMATION,0.7819799780845642,0.8413320779800415,0.7819799780845642,2026-01-21T17:03:41.290279,
5g networks spread the coronavirus,MISINFORMATION,0.9830614924430848,0.493225485086441,0.9830614924430848,2026-01-21T17:03:42.188856,
drinking bleach can cure covid-19,MISINFORMATION,0.9623305797576904,0.683846652507782,0.9623305797576904,2026-01-21T17:03:44.140668,
covid vaccines contain microchips for tracking,MISINFORMATION,0.9485629796981812,0.574617862701416,0.9485629796981812,2026-01-21T17:03:45.052300,
garlic prevents coronavirus infection,MISINFORMATION,0.8462387323379517,0.4372116327285766,0.8462387323379517,2026-01-21T17:03:47.119816,
vaccines change your dna,MISINFORMATION,0.8491726517677307,0.7504437565803528,0.8491726517677307,2026-01-21T17:03:49.168719,
hot water kills coronavirus inside your body,MISINFORMATION,0.9270371198654176,0.3859107494354248,0.9270371198654176,2026-01-21T17:03:49.553207,
masks cause oxygen deficiency,MISINFORMATION,1.0,0.5300151705741882,1.0,2026-01-21T17:03:50.253643,
covid-19 only affects elderly people,MISINFORMATION,0.9554133415222168,0.865601658821106,0.9554133415222168,2026-01-21T17:03:51.210948,
the jab helps you not end up in hospital,UNVERIFIED,0.4,0.3664349317550659,0.3081088364124298,2026-01-21T17:03:51.981859,
mobile phone towers are spreading the virus,LIKELY MISINFORMATION,0.55,0.3690295219421386,0.6414781808853149,2026-01-21T17:03:52.637849,
covid vaccines are safe,CORRECT INFORMATION,0.8458130359649658,0.8458130359649658,0.7474808692932129,2026-01-21T17:03:53.767000,
the vaccine contains microchips,LIKELY MISINFORMATION,0.55,0.5469661951065063,0.7313629984855652,2026-01-21T17:03:55.213550,
i got my vaccine yesterday and my arm hurts,LIKELY CORRECT,0.55,0.6211094260215759,0.5057113766670227,2026-01-21T17:03:55.375203,
my uncle says turmeric cured his covid,UNVERIFIED,0.4,0.5772533416748047,0.504966676235199,2026-01-21T17:03:55.555673,
the covid vaccine makes people infertile my neighbor said turmeric cured his covid i read that masks don t work indoors covid spreads only through touching surfaces,LIKELY CORRECT,0.55,0.651412844657898,0.5408797264099121,2026-01-21T17:15:18.513096,
the covid vaccine makes people infertile,MISINFORMATION,0.7906562089920044,0.5841207504272461,0.7906562089920044,2026-01-21T17:16:00.919127,
covid spreads only through touching surfaces,LIKELY CORRECT,0.55,0.6444005370140076,0.4007177948951721,2026-01-21T17:18:04.402446,
drinking hot water cures covid,MISINFORMATION,0.8094892501831055,0.6249063014984131,0.8094892501831055,2026-01-21T18:05:04.019427,CURE
wearing masks helps prevent transmission,UNVERIFIED,0.4,0.7536501884460449,0.5020925998687744,2026-01-21T18:05:04.236432,PREVENTION
turmeric cures covid,UNVERIFIED,0.4,0.654885470867157,0.5844451189041138,2026-01-21T18:05:04.791674,CURE
5g spreads corona,MISINFORMATION,0.7593684196472168,0.3310729265213012,0.7593684196472168,2026-01-21T18:05:06.917648,GENERAL_WELLNESS
honey helps soothe cough symptoms,UNVERIFIED,0.4,0.3302090764045715,0.3171643614768982,2026-01-21T18:05:07.101323,SYMPTOM_MANAGEMENT
covid gets cured after 100 days,UNVERIFIED,0.4,0.5866426825523376,0.5460467338562012,2026-01-21T18:08:27.415700,CURE
,UNVERIFIED,0.4,0.1227103620767593,0.0973584502935409,2026-01-21T18:12:29.565429,GENERAL_WELLNESS
alcohol-based sanitizers are safe for everyone to use,UNVERIFIED,0.4,0.350288987159729,0.4407878220081329,2026-01-21T18:39:00.420569,GENERAL_WELLNESS
touching a communal bottle of alcohol-based sanitizer will not infect you,UNVERIFIED,0.4,0.503875195980072,0.4441791772842407,2026-01-21T19:01:08.483527,GENERAL_WELLNESS
